borrow,take and use (something that belongs to someone else) with the intention of returning it.
worry,give way to anxiety or unease; allow one's mind to dwell on difficulty or troubles.
parallel,"(of lines, planes, surfaces, or objects) side by side and having the same distance continously between them"
perpendicular,"at an angle of 90 degree to a given line, plane, or surface."
